id,name,code,image-large,image-normal,partner,gameid,game_category_id
81,Monkey King,3010,https://pgslot.cc/cardsnewlobby/portrait/drg/large/3010.png,https://pgslot.cc/cardsnewlobby/portrait/drg/normal/3010.png,ASKMEBET,3010,"1,2"
87,Bust Treasury,3011,https://pgslot.cc/cardsnewlobby/portrait/drg/large/3011.png,https://pgslot.cc/cardsnewlobby/portrait/drg/normal/3011.png,ASKMEBET,3011,"1,2"
104,5 God Beast,3012,https://pgslot.cc/cardsnewlobby/portrait/drg/large/3012.png,https://pgslot.cc/cardsnewlobby/portrait/drg/normal/3012.png,ASKMEBET,3012,"1,2"
82,Get High,3013,https://pgslot.cc/cardsnewlobby/portrait/drg/large/3013.png,https://pgslot.cc/cardsnewlobby/portrait/drg/normal/3013.png,ASKMEBET,3013,"1,2"
103,Arab,3014,https://pgslot.cc/cardsnewlobby/portrait/drg/large/3014.png,https://pgslot.cc/cardsnewlobby/portrait/drg/normal/3014.png,ASKMEBET,3014,"1,2"
70,Wolf Legend,3015,https://pgslot.cc/cardsnewlobby/portrait/drg/large/3015.png,https://pgslot.cc/cardsnewlobby/portrait/drg/normal/3015.png,ASKMEBET,3015,"1,2"
74,Crystal Fruits,3016,https://pgslot.cc/cardsnewlobby/portrait/drg/large/3016.png,https://pgslot.cc/cardsnewlobby/portrait/drg/normal/3016.png,ASKMEBET,3016,"1,2"
116,Golf,3017,https://pgslot.cc/cardsnewlobby/portrait/drg/large/3017.png,https://pgslot.cc/cardsnewlobby/portrait/drg/normal/3017.png,ASKMEBET,3017,"1,2"
94,Tiger Lord,3018,https://pgslot.cc/cardsnewlobby/portrait/drg/large/3018.png,https://pgslot.cc/cardsnewlobby/portrait/drg/normal/3018.png,ASKMEBET,3018,"1,2"
91,Zeus,3019,https://pgslot.cc/cardsnewlobby/portrait/drg/large/3019.png,https://pgslot.cc/cardsnewlobby/portrait/drg/normal/3019.png,ASKMEBET,3019,"1,2"
73,Dracula,3020,https://pgslot.cc/cardsnewlobby/portrait/drg/large/3020.png,https://pgslot.cc/cardsnewlobby/portrait/drg/normal/3020.png,ASKMEBET,3020,"1,2"
112,Pirate King,3021,https://pgslot.cc/cardsnewlobby/portrait/drg/large/3021.png,https://pgslot.cc/cardsnewlobby/portrait/drg/normal/3021.png,ASKMEBET,3021,"1,2"
96,Alice,3022,https://pgslot.cc/cardsnewlobby/portrait/drg/large/3022.png,https://pgslot.cc/cardsnewlobby/portrait/drg/normal/3022.png,ASKMEBET,3022,"1,2"
